验证序号,验证目标,验证数据集,验证模型,数据划分方式,异常值剔除,预测时长,有无时间特征-日/周/月/年的整体变化趋势图,时间窗口长度,R2,MAE,RMSE,训练时间(秒),,,,,,
69,目标7: informer的sota效果,TX2,Informer,"滑动窗口随机: 形成滑动窗口数据对, 随机80%训练, 20%测试",默认-IQR,1 week,加入年月日等特征,固定时间窗口-4倍,-,-,-,69.29,,,,,,
70,目标8: 验证数据泄露的影响,TX1,RandomForest,"滑动窗口随机: 形成滑动窗口数据对, 随机80%训练, 20%测试",默认-IQR,1 hour,仅使用年月日等特征,固定时间窗口-4倍,1,2,3,2.36,,,,,,
71,目标8: 验证数据泄露的影响,TX1,RandomForest,"时序分割: 前80%训练, 后20%测试",默认-IQR,1 hour,仅使用年月日等特征,固定时间窗口-4倍,-4,7,8,0.88,,,,,,
72,目标8: 验证数据泄露的影响,TX1,RandomForest,"分组随机: 先将数据随机分成100组, 随机80%组训练, 20%组测试",默认-IQR,1 hour,仅使用年月日等特征,固定时间窗口-4倍,-1,8,9,2.25,,,,,,
73,目标9: 时序分割的模型表现对比,TX1,RandomForest,"时序分割: 前80%训练, 后20%测试",无,1 hour,加入年月日等特征,固定时间窗口-4倍,-4,7,8,15,,,,,,
74,目标9: 时序分割的模型表现对比,TX1,RandomForest,"时序分割: 前80%训练, 后20%测试",无,1 day,加入年月日等特征,固定时间窗口-4倍,-4,7,8,3.65,,,,,,
75,目标9: 时序分割的模型表现对比,TX1,RandomForest,"时序分割: 前80%训练, 后20%测试",无,1 week,加入年月日等特征,固定时间窗口-4倍,-4,7,8,3042.63,,,,,,
76,目标9: 时序分割的模型表现对比,TX2,RandomForest,"时序分割: 前80%训练, 后20%测试",无,1 hour,加入年月日等特征,固定时间窗口-4倍,1,5,6,10.98,,,,,,
77,目标9: 时序分割的模型表现对比,TX2,RandomForest,"时序分割: 前80%训练, 后20%测试",无,1 day,加入年月日等特征,固定时间窗口-4倍,1,5,6,287.78,,,,,,
78,目标9: 时序分割的模型表现对比,TX2,RandomForest,"时序分割: 前80%训练, 后20%测试",无,1 week,加入年月日等特征,固定时间窗口-4倍,1,5,6,2097.15,,,,,,
79,目标9: 时序分割的模型表现对比,TX1,MLP,"时序分割: 前80%训练, 后20%测试",无,1 hour,加入年月日等特征,固定时间窗口-4倍,-4,6,8,94,,,,,,
80,目标9: 时序分割的模型表现对比,TX1,MLP,"时序分割: 前80%训练, 后20%测试",无,1 day,加入年月日等特征,固定时间窗口-4倍,-4,7,8,63.21,,,,,,
81,目标9: 时序分割的模型表现对比,TX1,MLP,"时序分割: 前80%训练, 后20%测试",无,1 week,加入年月日等特征,固定时间窗口-4倍,-3,6,7,68,,,,,,
82,目标9: 时序分割的模型表现对比,TX2,MLP,"时序分割: 前80%训练, 后20%测试",无,1 hour,加入年月日等特征,固定时间窗口-4倍,0,6,8,153.4,,,,,,
83,目标9: 时序分割的模型表现对比,TX2,MLP,"时序分割: 前80%训练, 后20%测试",无,1 day,加入年月日等特征,固定时间窗口-4倍,0,7,9,110,,,,,,
