experiment_id,transformer_id,model,split_method,feature_mode,test_ratio,n_features,n_train,n_test,train_time,R2,MAE,MSE,RMSE,lookback,horizon,gap,lookback_multiplier,status,error_message
exp_080,1,MLP,chronological,full_6loads,,,55648,13912,63.21,-4.0192,6.5182,,7.7199,,,,,success,
exp_081,1,MLP,chronological,full_6loads,,,55072,13768,68.00,-3.3901,5.9901,,7.1691,,,,,success,
exp_082,2,MLP,chronological,full_6loads,,,55740,13935,153.40,0.4192,6.2497,,8.1549,,,,,success,
exp_083,2,MLP,chronological,full_6loads,,,55648,13912,109.61,0.2471,7.0773,,9.2736,,,,,success,
exp_084,2,MLP,chronological,full_6loads,,,55072,13768,98.72,0.3925,6.6158,,8.2403,,,,,success,
exp_085,1,RNN,chronological,full_6loads,,,55740,13935,107.65,-4.3009,6.9079,,7.9364,,,,,success,
exp_086,1,RNN,chronological,full_6loads,,,55648,13912,74.05,-5.1718,7.3813,,8.5606,,,,,success,
exp_087,1,RNN,chronological,full_6loads,,,55072,13768,92.17,-6.6095,7.7811,,9.4386,,,,,success,
exp_088,2,RNN,chronological,full_6loads,,,55740,13935,115.48,0.4234,6.3804,,8.1251,,,,,success,
exp_089,2,RNN,chronological,full_6loads,,,55648,13912,89.32,0.6263,5.1642,,6.5335,,,,,success,
exp_090,2,RNN,chronological,full_6loads,,,55072,13768,88.99,0.6785,4.8626,,5.9948,,,,,success,
exp_091,1,Informer,chronological,full_6loads,,,55740,13935,156.30,0.9735,0.4284,,0.5611,,,,,success,
exp_092,1,Informer,chronological,full_6loads,,,55648,13912,171.19,0.6150,1.6492,,2.1394,,,,,success,
exp_093,1,Informer,chronological,full_6loads,,,55072,13768,1046.12,-1.5864,4.6125,,5.5432,,,,,success,
exp_094,2,Informer,chronological,full_6loads,,,55740,13935,196.16,0.9728,0.5876,,0.7770,,,,,success,
exp_095,2,Informer,chronological,full_6loads,,,55648,13912,171.38,0.6075,2.2998,,2.9507,,,,,success,
exp_096,2,Informer,chronological,full_6loads,,,55072,13768,888.22,-1.9836,6.8681,,8.1329,,,,,success,
exp_097,2,RandomForest,chronological,loads_6_only,,,55740,13935,5.22,-0.0435,8.3507,,10.9306,,,,,success,
exp_098,2,RandomForest,chronological,loads_6_only,,,55648,13912,137.82,0.0529,7.9805,,10.4016,,,,,success,
exp_099,2,RandomForest,chronological,loads_6_only,,,55072,13768,994.36,0.0959,8.0409,,10.0523,,,,,success,
exp_100,2,MLP,chronological,loads_6_only,,,55740,13935,68.15,0.1174,7.9970,,10.0527,,,,,success,
exp_101,2,MLP,chronological,loads_6_only,,,55648,13912,86.68,0.2010,7.2839,,9.5536,,,,,success,
exp_102,2,MLP,chronological,loads_6_only,,,55072,13768,64.46,-0.1163,9.0744,,11.1698,,,,,success,
exp_103,2,RNN,chronological,loads_6_only,,,55740,13935,108.28,-0.0659,8.5649,,11.0470,,,,,success,
exp_104,2,RNN,chronological,loads_6_only,,,55648,13912,60.72,0.1016,8.2114,,10.1306,,,,,success,
exp_105,2,RNN,chronological,loads_6_only,,,55072,13768,86.96,-0.0128,8.7019,,10.6395,,,,,success,
exp_106,1,LinearRegression,chronological,full,,,55740,13935,0.20,-6.9521,8.3135,,9.7206,,,,,success,
exp_107,1,LinearRegression,chronological,full,,,55648,13912,2.52,-7.1568,8.4361,,9.8414,,,,,success,
exp_108,1,LinearRegression,chronological,full,,,55072,13768,195.00,-6.9768,8.2739,,9.6636,,,,,success,
exp_109,2,LinearRegression,chronological,full,,,55740,13935,0.12,0.7180,4.4680,,5.6822,,,,,success,
exp_110,2,LinearRegression,chronological,full,,,55648,13912,1.89,0.7265,4.3778,,5.5891,,,,,success,
exp_111,2,LinearRegression,chronological,full,,,55072,13768,109.99,0.6901,4.6975,,5.8856,,,,,success,
exp_112,1,,,,,,,,,,,,,,,,,unknown,
exp_113,1,,,,,,,,,,,,,,,,,unknown,
exp_114,2,,,,,,,,,,,,,,,,,unknown,
exp_115,2,,,,,,,,,,,,,,,,,unknown,
exp_116,2,,,,,,,,,,,,,,,,,unknown,
exp_117,2,,,,,,,,,,,,,,,,,unknown,
exp_118,1,,,,,,,,,,,,,,,,,failed,CUDA error: out of memory
exp_119,1,,,,,,,,,,,,,,,,,failed,CUDA error: out of memory
exp_120,1,,,,,,,,,,,,,,,,,failed,CUDA error: out of memory
exp_121,2,,,,,,,,,,,,,,,,,unknown,
exp_122,2,,,,,,,,,,,,,,,,,unknown,
exp_123,2,,,,,,,,,,,,,,,,,unknown,
exp_124,1,,,,,,,,,,,,,,,,,unknown,
exp_125,1,,,,,,,,,,,,,,,,,unknown,
exp_126,1,,,,,,,,,,,,,,,,,unknown,
exp_127,2,,,,,,,,,,,,,,,,,unknown,
exp_128,2,,,,,,,,,,,,,,,,,unknown,
exp_129,2,,,,,,,,,,,,,,,,,unknown,
exp_130,1,,,,,,,,,,,,,,,,,unknown,
exp_131,1,,,,,,,,,,,,,,,,,unknown,
exp_132,1,,,,,,,,,,,,,,,,,unknown,
exp_133,2,,,,,,,,,,,,,,,,,unknown,
exp_134,2,,,,,,,,,,,,,,,,,unknown,
exp_135,2,,,,,,,,,,,,,,,,,unknown,
exp_136,1,,,,,,,,,,,,,,,,,unknown,
exp_137,2,,,,,,,,,,,,,,,,,unknown,
,1,,,,,,,,,,,,,,,,,unknown,
