experiment_id,transformer_id,model,split_method,feature_mode,data_suffix,test_ratio,n_features,n_train,n_test,train_time,RMSE,MAE,R2,lookback,horizon,gap,lookback_multiplier
exp_088,2,RNN,chronological,full_6loads,_no_outlier,0.2,21,55740,13935,115.47939085960388,8.125082969665527,6.380415439605713,0.4234078526496887,,,,
exp_089,2,RNN,chronological,full_6loads,_no_outlier,0.2,21,55648,13912,89.31881880760193,6.533536911010742,5.164226531982422,0.6263121366500854,,,,
exp_090,2,RNN,chronological,full_6loads,_no_outlier,0.2,21,55072,13768,88.9916672706604,5.994781017303467,4.862555980682373,0.6784593462944031,,,,
exp_091,1,Informer-Short,chronological,full_6loads,_no_outlier,0.2,25,55740,13935,156.29821515083313,0.5611423197924877,0.42841503390540303,0.9735174104571342,,,,
exp_092,1,Informer,chronological,full_6loads,_no_outlier,0.2,25,55648,13912,171.19054794311523,2.139352428683401,1.6492461765787971,0.6149720847606659,,,,
exp_093,1,Informer-Long,chronological,full_6loads,_no_outlier,0.2,25,55072,13768,1046.119353055954,5.543242136732561,4.6124663800725125,-1.5864043235778809,,,,
exp_094,2,Informer-Short,chronological,full_6loads,_no_outlier,0.2,21,55740,13935,196.15806007385254,0.7770401349159185,0.5876230132038545,0.9727864917367697,,,,
exp_095,2,Informer,chronological,full_6loads,_no_outlier,0.2,21,55648,13912,171.38354587554932,2.9507193373867238,2.299841050354943,0.6074756681919098,,,,
exp_096,2,Informer-Long,chronological,full_6loads,_no_outlier,0.2,21,55072,13768,888.2178857326508,8.132903222684067,6.868111691156849,-1.9836177825927734,,,,
exp_097,2,RandomForest,chronological,loads_6_only,_no_outlier,0.2,6,55740,13935,5.218161344528198,10.930569564441988,8.350749865206227,-0.0435150582331596,,,,
exp_098,2,RandomForest,chronological,loads_6_only,_no_outlier,0.2,6,55648,13912,137.8181402683258,10.401565705122367,7.980511459095318,0.05286960726333312,,,,
